category,user_input,expected_output
Tecnología,"¿Qué modelos de IA usa LAB10?","LAB10 trabaja con una filosofía multi-modelo a través de OpenRouter, usando frecuentemente modelos como Gemini 2.5 Flash, Claude y otros según el caso de uso. La elección depende del balance entre costo, latencia y calidad para cada producto."
Comunidad,"¿Cómo me uno a la comunidad?","Tres puertas de entrada principales: 1) lab10.ai (sitio principal y registro a clases gratuitas); 2) comunidad.lab10.ai (plataforma de la comunidad para builders); 3) Instagram @lab10.ai. Las clases gratuitas de los jueves son la forma más sencilla y de menor fricción para empezar."
Comunidad,"como entro a la comunidad de lab10","Puedes entrar por tres vías: lab10.ai, comunidad.lab10.ai o Instagram @lab10.ai. La forma más fácil de empezar es registrarte a las clases gratuitas de los jueves."
Comunidad,"¿Cómo aplico para trabajar en LAB10?","A través de lab10.ai/aplicar. LAB10 publica roles abiertos como AI Product Engineer, Growth, Writer/Editor, entre otros. El proceso típico para roles técnicos incluye revisión de portafolio, defensa de diseño de sistema y un trabajo de prueba remunerado."
Comunidad,"quiero trabajar en LAB10","Puedes aplicar en lab10.ai/aplicar. LAB10 busca personas que trabajen bien con poca información y mucha agencia, trabajen duro, quieran impacto en la región, tengan mindset de fundador y aprendan y ejecuten rápido. Para roles técnicos el proceso incluye revisión de portafolio, defensa de diseño de sistema y un trabajo de prueba remunerado."
Comunidad,"¿Qué perfil busca LAB10 en su equipo?","Cinco rasgos principales: 1) Trabaja bien con poca información y mucha agencia; 2) Trabaja muy duro (equipo pequeño, alta intensidad); 3) Quiere impacto en la región; 4) Quiere emprender y tiene mindset de fundador; 5) Aprende rápido y ejecuta más rápido todavía."
Comunidad,"¿LAB10 hace eventos presenciales?","Sí. Además del calendario digital, LAB10 organiza y participa en eventos presenciales en la región, incluyendo activaciones con miles de asistentes (como el contexto de Project Alter). También hace paneles, charlas y formaciones in-company."
Comunidad,"¿Cómo propongo una colaboración a LAB10?","Las vías habituales son LinkedIn (perfiles de los fundadores como Juanse), las redes oficiales de LAB10, o el sitio lab10.ai. Para colaboraciones corporativas, lab10.ai/empresas es el punto de entrada."
Filosofía,"¿Cuál es la visión de LAB10 sobre la IA?","La IA es el mayor multiplicador en la historia de la humanidad. Por primera vez tenemos en nuestras manos las dos herramientas más importantes que hemos construido (software e inteligencia artificial) combinadas. Eso es razón de ambición desmedida, no de pesimismo: antes el límite era el tiempo de nuestras manos, hoy el límite son nuestras ideas."
Filosofía,"¿Cómo entiende LAB10 el rol del código?","El código siempre fue un medio, no un fin. Hoy la IA escribe mejor código y más rápido, y eso revela lo que siempre fue cierto: lo que importa es resolver problemas, no escribir líneas. Por eso LAB10 enseña pensamiento de producto y mindset de builder, no solo sintaxis."
Filosofía,"¿Qué significa ser AI-First?","Ser AI-First no es 'usar ChatGPT a veces'. Es rediseñar cómo se piensa, se decide y se construye asumiendo que la IA es una colaboradora permanente. En la práctica, significa equipos donde cada persona usa IA directamente en su flujo, casos de uso elegidos por impacto y no por novedad, y una cultura que premia aprender rápido sobre saber mucho."
Recursos,"¿Cuál es el sitio oficial de LAB10?","El sitio principal es lab10.ai. Otros enlaces oficiales: empresas (lab10.ai/empresas), aplicar al equipo (lab10.ai/aplicar), comunidad (comunidad.lab10.ai), AI Labs (lab10.ai/labs), Instagram (@lab10.ai), LinkedIn (linkedin.com/company/lab10ai) y el canal de YouTube de LAB10."
Recursos,"¿Cuál es el Instagram de LAB10?","@lab10.ai. Tiene más de 26K seguidores y publica contenido, novedades y avisos de clases."
Recursos,"¿LAB10 tiene LinkedIn?","Sí. La página oficial es linkedin.com/company/lab10ai. También puedes seguir a los fundadores: Juanse (/in/juanhenaoparra) y Valentina Ponce de León (/in/vponcedeleon)."
Recursos,"¿A quién sigo en LinkedIn de LAB10?","Personas clave: Juan Sebastián Henao Parra (Juanse), Co-Founder & CTO, en /in/juanhenaoparra; y Valentina Ponce de León, Co-Founder & CEO, en /in/vponcedeleon."
Recursos,"¿Dónde veo las clases grabadas?","En el canal de YouTube de LAB10, que publica talleres grabados, guías y recursos abiertos."
